identifier,brand,platform,category,title,url,image,rating,reviews
B099FMP1R8,Frida,Amazon,,Oh Cr*p! Cradle Cap Flake Fixer Scalp Mask by Frida Baby Dandruff Shampoo Cleans Baby's Scalp While Washing Your Baby,https://www.amazon.com/dp/B099FMP1R8,https://m.media-amazon.com/images/I/61vO4ssKocL._AC_SX352_SY330_.jpg,4.6,2789
B08QTBJMDR,Frida,Amazon,,"Frida Mom Breast Care Self Care Kit - 2-in-1 Lactation Massager, Instant Heat Breast Warmers, Breast Mask for Hydration, Breast Mask for Lactation - 9 Piece Set",https://www.amazon.com/dp/B08QTBJMDR,https://m.media-amazon.com/images/I/71KQkfoeDCL._AC_SX352_SY330_.jpg,4.4,2786
B093J85L4W,Frida,Amazon,,"Frida Mom 2-in-1 Lactation Massager - Multiple Modes of Heat + Vibration for Clogged Milk Ducts, Increase Milk Flow, Breast Engorgement - USB Cord Included",https://www.amazon.com/dp/B093J85L4W,https://m.media-amazon.com/images/I/71SX8yr2yTL._AC_SX352_SY330_.jpg,4.4,2786
B0823FDB61,Frida,Amazon,,Easy Grip Nail Scissors by Frida Baby Grooming Essentials Safe for Infant Newborn Toddler Nails,https://www.amazon.com/dp/B0823FDB61,https://m.media-amazon.com/images/I/71CybJJNINL._AC_UL320_.jpg,4.6,2712
B099FM4W4H,Frida,Amazon,,4-in-1 Grow-with-Me Bath Tub by Frida Baby Transforms Infant Bathtub to Toddler Bath Seat with Backrest for Assisted Sitting in Tub,https://www.amazon.com/dp/B099FM4W4H,https://m.media-amazon.com/images/I/711UqAaS+pL._AC_SX352_SY330_.jpg,4.6,2326
B09ZJKSNBR,Frida,Amazon,,Bath Time Bundle by Frida Baby,https://www.amazon.com/dp/B09ZJKSNBR,https://m.media-amazon.com/images/I/61BQTh2bAQL._AC_SX352_SY330_.jpg,4.6,2326
B099FH2XKH,Frida,Amazon,,2-in-1 Portable Sound Machine + Nightlight by Frida Baby White Noise Machine with Soothing Sounds for Stroller or Car Seat with Volume Control,https://www.amazon.com/dp/B099FH2XKH,https://m.media-amazon.com/images/I/71KHpJc3xHL._AC_UL320_.jpg,4.6,2279
B071P39SP6,Frida,Amazon,,Windi Gas and Colic Reliever for Babies (20 Count) by Frida Baby,https://www.amazon.com/dp/B071P39SP6,https://m.media-amazon.com/images/I/617dJ-QTWnL._AC_UL320_.jpg,4.8,1991
B01J8C1VVC,Frida,Amazon,,Fridababy Bitty Bundle of Joy Mom & Baby Healthcare and Grooming Gift Kit,https://www.amazon.com/dp/B01J8C1VVC,https://m.media-amazon.com/images/I/81qlwtG2jnS._AC_SX352_SY330_.jpg,4.8,1859
B08937HY1Z,Frida,Amazon,,Frida Baby Flu Fighters Bundle Mom & Baby Healthcare and Grooming Gift Kit,https://www.amazon.com/dp/B08937HY1Z,https://m.media-amazon.com/images/I/71Hot7qHCFL._AC_SX352_SY330_.jpg,4.8,1859
